,Ticker,Momentum
1936,VAXX,3.6588234551637653
1804,EOSE,1.7826086430708865
1380,LBPH,0.9656143958161328
1320,WULF,0.7383177125839553
1810,NOTE,0.6140351372522447
1353,SHCR,0.5948777199302036
1786,SCLX,0.5932204057621732
1715,SMR,0.5932203579499011
1852,BW,0.5609755506596829
1896,LICY,0.5389610027699905
754,RNA,0.4976957998778242
514,ENVX,0.48560810770126067
1877,EGRX,0.47453082355913045
1850,ASRT,0.46938778489195015
1900,SKIL,0.4504405492239843
1468,XPOF,0.4430715350015311
1289,APLD,0.4105690954476784
931,ARQT,0.38026314509872566
962,MIRM,0.3794071141049965
1764,KLTR,0.34911236342777624
1450,ASTS,0.33047210563928514
1506,CVRX,0.3131634591690723
1469,EVGO,0.30985906664392177
323,RXO,0.30712895781835076
1352,GRND,0.2968581647544273
475,CNK,0.2873223117654151
469,SIX,0.286409473961374
974,SILK,0.28334130551362263
892,ACHR,0.28279883665637623
1062,OCUL,0.28269236941309595
53,FTAI,0.27869845682641176
1077,IRON,0.27866154971295604
1930,RDW,0.2756052235780263
1931,ADRO,0.2756052235780263
1493,HMST,0.2716763566596569
1454,BTBT,0.27046263556557043
1148,AOSL,0.26921769965234327
408,GLNG,0.26858579264164323
1833,EBS,0.2667730892008423
580,MXL,0.26473989165818285
1759,RXT,0.26244339986182513
788,AUR,0.25751079944105676
1913,VALU,0.24833466554668587
1266,FIP,0.23544633469218557
1387,HROW,0.2316259447004804
117,INSM,0.22441844047537388
313,CRDO,0.22407116772400015
61,CVNA,0.22336873308314575
1616,CMTL,0.21862346380492303
1390,LIND,0.21796566155233105
1058,CECO,0.21780051615121054
676,WLY,0.2162921655330086
185,AMKR,0.21504397604134173
1084,CENX,0.20863306226418288
36,AAON,0.2043725606548506
1134,URGN,0.2039424275690118
451,TGTX,0.20240352462575825
1195,PBI,0.19999998200614563
1346,AAN,0.1962053061381721
1194,NRIX,0.19228410314259342
1870,CURV,0.18918922789036355
1124,TNGX,0.18888897866378834
706,FIZZ,0.18599893216900612
114,MOD,0.1805126444239297
1500,CELC,0.172822263157482
1324,SSP,0.16996050261652615
1507,SMHI,0.16859503285447325
1543,EVCM,0.16631790053596296
631,UFPT,0.1662230006135046
1074,NRDS,0.16553798461850336
1822,ACRS,0.16504862234565465
154,RPD,0.16463076706867844
766,GERN,0.1645244441246462
1187,ATEX,0.15974721090443322
1571,AMPY,0.15582188760883153
1340,CARE,0.15546872980194196
609,HLX,0.15518907494427572
1083,SNCY,0.1533333006359282
367,TBBK,0.15107483690234097
1198,IIIV,0.14893611124583417
1926,PRTH,0.148148111355159
1634,RDVT,0.14743293149339023
65,ALTR,0.14671771453004098
473,AVDX,0.146318799205775
1679,ATLC,0.14599087084097553
996,CCO,0.14598543575737447
178,MDGL,0.1458462017786557
1440,DAKT,0.1457418610514146
261,TMDX,0.14531650285818376
1698,CIFR,0.14355222787942634
49,VRNS,0.14336411894166384
1315,REPL,0.1406469063831862
1250,NFBK,0.1398773492861016
1686,SCPH,0.1365978652935068
1828,BCOV,0.13615020951731097
1851,CPSS,0.13413171669363985
217,FORM,0.13347967151333417
755,ALKT,0.13239127757888577
1605,BLDE,0.13157898039038532
384,OII,0.13152898993389034
701,GSAT,0.12962961123313507
702,AVPT,0.12871287751968305
1897,FOSL,0.12605039407183252
1333,BOOM,0.1255060072213607
201,PIPR,0.12403250405496116
1378,GCI,0.12318846505537934
693,DO,0.12207602624556277
1574,LINC,0.12129889892063563
775,CIM,0.12092267768817132
1127,ZIMV,0.1195851778407742
994,CLB,0.11865339508567227
1901,EYEN,0.1179487320563267
629,RKLB,0.11670486092394676
462,MYGN,0.11659194934629258
561,EXTR,0.11617903569409312
1724,BARK,0.11564622705849704
589,JAMF,0.11456307611265554
192,ACIW,0.11435032242990048
771,ALPN,0.11413045590901878
770,INFN,0.11413045590901878
137,MDC,0.11380771205231613
136,ACLS,0.11380771205231613
546,AGYS,0.11344217287001532
330,KRYS,0.1126267774445469
1544,HYLN,0.11111108351636925
1213,UTI,0.11035877523685601
576,STAA,0.11020506424376056
1845,GWH,0.11002785064404147
1310,ELVN,0.10990095195577822
442,UCTT,0.10963594964109581
79,MTSI,0.1092640960791944
1018,CFB,0.10742501001132056
1220,INST,0.10672650894803133
513,XPRO,0.10619468196696592
809,MNKD,0.10560350475321365
1629,MVST,0.10354219671692107
941,EWTX,0.1033503481967162
981,TMCI,0.10310959473603006
564,CUBI,0.1030999255367577
1227,SVRA,0.1019900122779638
538,YOU,0.10179542247278008
1080,PWP,0.10129168735068043
711,BKD,0.10120847248887248
563,APPN,0.10092069421277056
396,PD,0.10050513914879458
1879,KRMD,0.10043669122482185
335,PRGS,0.10027967079605475
27,RMBS,0.10015981623334863
495,VECO,0.0993544825373839
821,EVRI,0.09933774583481174
1756,INTT,0.09905169196298738
1612,FF,0.09839824174749802
1880,BTMD,0.09806832771792043
1371,SFIX,0.09736845490014497
203,AXSM,0.09711067816192012
13,WFRD,0.09642566952281836
897,GDYN,0.09623421362323702
705,NHC,0.09617708249160023
1376,TRUE,0.0937499896519718
1559,CVLY,0.09272731434215199
783,BFH,0.09270076678202337
966,DHC,0.09215016203918999
1667,ISPR,0.09180792406381644
1689,BPRN,0.09157502596642647
1556,SMLR,0.09131485861294958
1070,TVTX,0.09128628570829345
0,ELF,0.09116675650984729
1406,RBBN,0.09030099667736999
89,APPF,0.0899283500642938
1476,KIND,0.0889830709668086
1552,BOWL,0.08861725239802824
1890,DTC,0.0885416462939849
138,CRC,0.0884411035841972
1911,OPFI,0.08832806455863533
1271,DJCO,0.08822722549705682
1857,CMPO,0.08749998975545183
1151,MLNK,0.08744277105659065
1951,TIO,0.08737858108216245
1952,GTXI,0.08737858108216245
1953,CAD,0.08737858108216245
1954,PDLI,0.08737858108216245
1955,P5N994,0.08737858108216245
1956,CRGE,0.08737858108216245
1957,RTYH4,0.08737858108216245
